job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details
Data Analyst,Suntech Global,3-5 Yrs,3,5,3.6-13.3L/yr,360000.0,1330000.0,"Thrissur/Trichur, Thiruvananthapuram, Calicut/Kozhikode",270,Naukri,1.5,2,"Data analysis, Data mining, Computer science"
Data Analyst,Enmay,1-6 Yrs,1,6,3.6-13.3L/yr,360000.0,1330000.0,Kolkata,365,Naukri,3.9,30,"Data Analyst, Data analysis, Social media"
Power BI Developer - Data Modeling/Business Intelligence (3-5 yrs),Ridgeant Techonologies,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,60,hirist,3.9,30,Data Analyst
Senior Data Analyst,MediaMath,8-13 Yrs,8,13,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,730,Naukri,3.9,30,"Supply chain, Digital media, Data analysis"
Lead Data Analyst,MediaMath,8-13 Yrs,8,13,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,730,Naukri,3.9,30,"Python, Data Analysis, Predictive Modeling"
"Data Analyst , Product",MediaMath,4-9 Yrs,4,9,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,730,Naukri,3.9,30,"Python, Data Analysis, Data Science"
Senior Data Analyst,Sanmax Technologies (P) Limited,8-10 Yrs,8,10,3.6-13.3L/yr,360000.0,1330000.0,Jaipur,1460,Naukri,3.9,30,"Oracle, Perl, Db2"
Data Analyst,Smith & Nephew,3-6 Yrs,3,6,3.6-13.3L/yr,360000.0,1330000.0,Pune,90,Naukri,3.9,30,"Automation, Analytical, power bi"
Data Analyst,eninrac consulting,1-4 Yrs,1,4,3.6-13.3L/yr,360000.0,1330000.0,Noida,90,Naukri,3.9,30,"Consulting, Analytical, Renewable energy"
Senior Business Data Analyst,LivePerson,5-7 Yrs,5,7,3.6-13.3L/yr,360000.0,1330000.0,Pune,90,Naukri,3.9,30,"Computer science, Data analysis, Data modeling"
Risk & Data Analyst,ADM,2-3 Yrs,2,3,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",90,Naukri,3.9,30,"Data Analyst, SAS, Data analysis"
Data Analyst,Highspot,3-5 Yrs,3,5,3.6-13.3L/yr,360000.0,1330000.0,Hyderabad / Secunderabad,90,Naukri,3.9,30,"SQL, Python, Analytics"
Supply Chain Data Analyst,Forever New Clothing Pty Ltd,1-4 Yrs,1,4,3.6-13.3L/yr,360000.0,1330000.0,Gurgaon / Gurugram,90,Naukri,3.9,30,"power bi, etl, data reconciliation"
Sr. Data analyst Tableau,Testlify,3-4 Yrs,3,4,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,90,Naukri,3.9,30,"Data analysis, SQL, Manager Quality Assurance"
Reliability Data Analyst - ANITS,PinnacleART,1-5 Yrs,1,5,3.6-13.3L/yr,360000.0,1330000.0,Hyderabad / Secunderabad,90,Naukri,3.9,30,"Petroleum, Mining, Technical writing"
Reliability Data Analyst - ANITS,PinnacleART,1-5 Yrs,1,5,3.6-13.3L/yr,360000.0,1330000.0,Hyderabad / Secunderabad,90,Naukri,3.9,30,"Petroleum, Mining, Technical writing"
Data Analyst,Demos Project Pvt Ltd.,3-5 Yrs,3,5,3.6-13.3L/yr,360000.0,1330000.0,New Delhi,120,Naukri,3.9,30,"Report generation, Data Analyst"
Business Intelligence Analyst,AspireIQ,3-4 Yrs,3,4,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",120,Naukri,3.9,30,"Analytical, Business intelligence, Data analysis"
Senior data analyst,BP INCORPORATE INTERNATIONAL.,5-7 Yrs,5,7,3.6-13.3L/yr,360000.0,1330000.0,Pune,150,Naukri,3.9,30,"Data analysis, Data management, data manipulation"
Senior Data Analyst,IIX Global,3-4 Yrs,3,4,3.6-13.3L/yr,360000.0,1330000.0,Remote,150,Naukri,3.9,30,"Data analysis, SQL, Analytical"
Data Analyst / Sr. Data Analyst,CoreInsightsAI,0-8 Yrs,0,8,3.6-13.3L/yr,360000.0,1330000.0,Remote,150,Naukri,3.9,30,"Data analysis, Analytical, Consulting"
Data Analyst,Odetta,1-3 Yrs,1,3,3.6-13.3L/yr,360000.0,1330000.0,Remote,180,Naukri,3.9,30,"Data analysis, Translation, Excel"
Senior BI & Data Analyst Specialist,ArabyAds,4-6 Yrs,4,6,3.6-13.3L/yr,360000.0,1330000.0,Gurgaon / Gurugram,180,Naukri,3.9,30,"Postgresql, Manager Program Management, Strategic planning"
Data Analyst,Grapes IDMR,2-4 Yrs,2,4,3.6-13.3L/yr,360000.0,1330000.0,Thrissur/Trichur,210,Naukri,3.9,30,"SQL, SAS, Process improvement"
Data Analyst,MindTrilogy,1-3 Yrs,1,3,3.6-13.3L/yr,360000.0,1330000.0,New Delhi,210,Naukri,3.9,30,"Analytical, Market analysis, Database administration"
Junior Python Developer,MABZONE IT SOLUTIONS,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Mohali,210,Naukri,3.9,30,"HR Executive, SAS, Finance"
Data Analyst / Web Researcher,MyVirtualDesks,0-3 Yrs,0,3,3.6-13.3L/yr,360000.0,1330000.0,Pune,240,Naukri,3.9,30,"Data Analyst, Web technologies, Data analysis"
Jr. Data Analyst (Big Query),Coders Brain Pvt Ltd,1-4 Yrs,1,4,0.1-27.0L/yr,10000.0,2700000.0,New Delhi,240,Naukri,3.9,30,"Data Analyst, Junior Data Analyst, query"
